Rxn	Rxn name	Gene Protein Reaction Rule	EC Number	TN(s-1)	Substrate	Organism	Commentary	Reference
DM_4CRSOL	Sink needed to allow p-Cresol to leave system							
DM_5DRIB	Sink needed to allow 5-deoxyribose to leave system							
DM_AACALD	Sink needed to allow aminoacetaldehyde to leave system							
DM_AMOB	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system							
DM_MTHTHF	"Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system"							
DM_OXAM	Sink needed to allow oxamate to leave system							
Ec_biomass_iJO1366_WT_53p95M	E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate							
Ec_biomass_iJO1366_core_53p95M	E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate							
EX_12ppd-R(e)	"(R)-Propane-1,2-diol exchange"							
EX_12ppd-S(e)	"(S)-Propane-1,2-diol exchange"							
EX_14glucan(e)	"1,4-alpha-D-glucan exchange"							
EX_15dap(e)	"1,5-Diaminopentane exchange"							
EX_23camp(e)	"2,3-Cyclic AMP exchange"							
EX_23ccmp(e)	"2,3-Cyclic CMP exchange"							
EX_23cgmp(e)	"2,3-Cyclic GMP exchange"							
EX_23cump(e)	"2,3-Cyclic UMP exchange"							
EX_23dappa(e)	"2,3-diaminopropionate exchange"							
EX_26dap-M(e)	"meso-2,6-Diaminoheptanedioate exchange"							
EX_2ddglcn(e)	2-Dehydro-3-deoxy-D-gluconate exchange							
EX_34dhpac(e)	"3,4-Dihydroxyphenylacetaldehyde exchange"							
EX_3amp(e)	3-AMP exchange							
EX_3cmp(e)	3-cmp exchange							
EX_3gmp(e)	3-GMP exchange							
EX_3hcinnm(e)	3-hydroxycinnamic acid exchange							
EX_3hpp(e)	3-Hydroxypropanoate exchange							
EX_3hpppn(e)	3-(3-hydroxy-phenyl)propionate exchange							
EX_3ump(e)	3-UMP exchange							
EX_4abut(e)	4-Aminobutanoate exchange							
EX_4hoxpacd(e)	4-Hydroxyphenylacetaldehyde exchange							
EX_5dglcn(e)	5-Dehydro-D-gluconate exchange							
EX_5mtr(e)	5-Methylthio-D-ribose exchange							
EX_LalaDglu(e)	L-alanine-D-glutamate exchange							
EX_LalaDgluMdap(e)	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange"							
EX_LalaDgluMdapDala(e)	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange"							
EX_LalaLglu(e)	L-alanine-L-glutamate exchange							
EX_ac(e)	Acetate exchange							
EX_acac(e)	Acetoacetate exchange							
EX_acald(e)	Acetaldehyde exchange							
EX_acgal(e)	N-Acetyl-D-galactosamine exchange							
EX_acgal1p(e)	N-Acetyl-D-galactosamine 1-phosphate exchange							
EX_acgam(e)	N-Acetyl-D-glucosamine exchange							
EX_acgam1p(e)	N-Acetyl-D-glucosamine 1-phosphate exchange							
EX_acmana(e)	N-Acetyl-D-mannosamine exchange							
EX_acmum(e)	N-Acetylmuramate exchange							
EX_acnam(e)	N-Acetylneuraminate exchange							
EX_acolipa(e)	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A exchange							
EX_acser(e)	O-Acetyl-L-serine exchange							
EX_ade(e)	Adenine exchange							
