G6PDH2r	glucose 6-phosphate dehydrogenase	b1852	1.1.1.49	30100	D-glucose-6-phosphate
GTPDPDP	"guanosine-5-triphosphate,3-diphosphate diphosphatase"	b3779	3.6.1.40	1.1	Polyphosphate
LPLIPAL1E141pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA
ACACT4r	acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	(b2342 or b3845)	2.3.1.16	20000	NA
LPLIPAL1A120pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)"	b0494	3.1.1.5	20000	NA
PLIPA1E180pp	"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
METSOXR1	L-methionine-S-oxide reductase	((b4219 and b2582) or (b4219 and b3781) or (b3551 and b2582) or (b3551 and b3781))	1.8.4.5	20000	NA
GTHOr	glutathione oxidoreductase	b3500	1.8.1.7	900	NADPH
APH140	acylphosphatase (C14:0)	b0968	3.6.1.7	10000	benzoyl-phosphate
APH141	acylphosphatase (C14:1)	b0968	3.6.1.7	10000	benzoyl-phosphate
G1PACT	glucosamine-1-phosphate N-acetyltransferase	b3730	2.3.1.157	12.4	N-acetyl-D-glucosamine-1-phosphate-
FOMETRi	Aminomethyltransferase	b2912	2.1.2.10	20.9	NH4Cl
TRE6PS	"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	b1896	2.4.1.15	7.3	UDPglucose
GLCRAL	5-dehydro-4-deoxyglucarate aldolase	b3126	4.1.2.20	447	4-hydroxy-2-ketohexanoic-acid
ACACT3r	acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)	(b2342 or b3845)	2.3.1.16	20000	NA
PANTS	pantothenate synthase	b0133	6.3.2.1	6.08	Pantoate
FMETTRS	Methionyl-tRNA formyltransferase	b3288	2.1.2.9	46.3	methionyl-tRNAfMet
PLIPA2A180pp	"Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
TREHpp	"alpha,alpha-trehalase (periplasm)"	b1197	3.2.1.28	662	trehalose
PPNCL2	phosphopantothenate-cysteine ligase	b3639	6.3.2.5	2.9	CTP
ACOAD1f	acyl-CoA dehydrogenase (butanoyl-CoA)	b0221	1.3.99.2	20000	NA
ACLS	acetolactate synthase	((b3670 and b3671) or (b0077 and b0078))	4.1.3.18	20000	NA
NTPP9	Nucleoside triphosphate pyrophosphorylase (itp)	b2954	3.6.1.19	67.2	dATP
PUNP6	purine-nucleoside phosphorylase (Deoxyinosine)	(b2407 or b4384)	2.4.2.1	28000	Inosine
G3PAT140	glycerol-3-phosphate acyltransferase (C14:0)	(b1094 and b4041)	2.3.1.15	20000	NA
ACODA	acetylornithine deacetylase	b3957	3.5.1.16	3800	N2-Acetyl-L-ornithine
MAN6PI	mannose-6-phosphate isomerase	b1613	5.3.1.8	63970	D-talose
PUNP1	purine-nucleoside phosphorylase (Adenosine)	b4384	2.4.2.1	28000	Inosine
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	(b0954 or b0180)	4.2.1.60	20000	NA
PLIPA1E141pp	"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
DURADx	dihydrouracil dehydrogenase (NAD)	(b2147 and b2146)	1.3.1.1	20000	NA
LCADi	lactaldehyde dehydrogenase	b1415	1.2.1.21	20000	NA
NAMNPP	nicotinic acid mononucleotide pyrophosphorylase	b0931	2.4.2.11	20000	NA
LPLIPAL2G140	"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)"	b3825	3.1.1.5	20000	NA
LPLIPAL2G141	"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)"	b3825	3.1.1.5	20000	NA
5DGLCNR	5-dehydro-D-gluconate reductase	b4266	1.1.1.69	20000	NA
ADSL2r	adenylosuccinate lyase	b1131	4.3.2.2	7.5	succinyladenosine-monophosphate
LPLIPAL1G120pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)"	b0494	3.1.1.5	20000	NA
L_LACD2	L-Lactate dehydrogenase (ubiquinone)	(b3605 or (b0306 and b0307 and b0308))	1.1.2.3	473	L-lactate
L_LACD3	L-Lactate dehydrogenase (menaquinone)	(b3605 or (b0306 and b0307 and b0308))	1.1.2.3	473	L-lactate
PSSA181	Phosphatidylserine syntase (n-C18:1)	b2585	2.7.8.8	20000	NA
MICITDr	2-methylisocitrate dehydratase	b0118	4.2.1.99	20000	NA
ASPTA	aspartate transaminase	b0928	2.6.1.1	574	oxaloacetate
P5CD	1-pyrroline-5-carboxylate dehydrogenase	b1014	1.5.1.12	25	1-pyrroline-5-carboxylate
CYSDDS	D-cysteine desulfhydrase	b1919	4.4.1.15	13800	D-Cysteine
EAR160x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
EAR160y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
PPK2r	polyphosphate kinase	b2501	2.7.4.1	77	Polyphosphate
EAR121y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
EAR121x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
ALATRS	Alanyl-tRNA synthetase	b2697	6.1.1.7	120	ATP
ACOAD5f	acyl-CoA dehydrogenase (dodecanoyl-CoA)	b0221	1.3.99.3	35.7	Octanoyl-CoA
MDDCP2pp	"murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)"	(b0632 or b3182 or b0839 or b2010)	3.4.16.4	350	diacetyl-L-Lys-D-Ala-D-Ala
ETHAAL	Ethanolamine ammonia-lyase	(b2440 and b2441)	4.3.1.7	55	Ethanolamine
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
EAR141x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
SHK3Dr	shikimate dehydrogenase	(b1692 or b3281)	1.1.1.25	233000	quinate
TYRTA	tyrosine transaminase	(b4054 or b0928)	2.6.1.5	576	L-tyrosine
ASPK	aspartate kinase	(b0002 or b3940 or b4024)	2.7.2.4	245	L-aspartate
ASPT	L-aspartase	b4139	4.3.1.1	190	L-aspartate
DHFR	dihydrofolate reductase	(b1606 or b0048)	1.5.1.3	284	"7,8-dihydrofolate"
FCLK	L-fuculokinase	b2803	2.7.1.51	20000	NA
MALDDH	malate decarboxylating oxidoreductase (decarboxylating)	b1800	1.1.1.83	20000	NA
CYSTRS	Cysteinyl-tRNA synthetase	b0526	6.1.1.16	142	ATP
HISTRS	Histidyl-tRNA synthetase	b2514	6.1.1.21	142	His
HACD1i	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	(b0032 and b0033)	6.3.5.5	2660	L-glutamine
PPKr	polyphosphate kinase	b2501	2.7.4.1	77	Polyphosphate
PLIPA1G141pp	"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
LPLIPAL2E160	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)"	b3825	3.1.1.5	20000	NA
DHDPS	dihydrodipicolinate synthase	b2478	4.2.1.52	223	L-aspartate-4-semialdehyde
HACD2i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
NTP10	nucleoside-triphosphatase (ITP)	(b4161 or b4394)	3.6.1.15	5096	dCTP
NTP11	nucleoside-triphosphatase (dITP)	b4394	3.6.1.15	5096	dCTP
NTP12	nucleoside-triphosphatase (XTP)	b4394	3.6.1.15	5096	dCTP
